parameter,step,mean,std,maximum,minimum,abs_mean,abs_std,abs_maximum,abs_minimum
gpt_neox.layers.2.post_attention_layernorm.weight,143000,1.0886011,0.116323665,2.2851562,0.87158203,1.0886011,0.116323665,2.2851562,0.87158203
gpt_neox.layers.2.post_attention_layernorm.bias,142000,0.014726396,0.1532528,1.0185547,-1.3173828,0.092088565,0.12331591,1.3173828,0.00077581406
gpt_neox.layers.2.post_attention_layernorm.bias,143000,0.0147236325,0.15335463,1.0175781,-1.3173828,0.09221276,0.123349175,1.3173828,0.0005030632
gpt_neox.layers.2.attention.query_key_value.weight,142000,2.4834142e-06,0.0324815,0.30810547,-0.2841797,0.024973556,0.020769412,0.30810547,5.9604645e-08
gpt_neox.layers.2.attention.query_key_value.weight,143000,1.3260906e-06,0.032383785,0.3076172,-0.28442383,0.024898628,0.02070669,0.3076172,0.0
gpt_neox.layers.2.attention.query_key_value.bias,142000,-0.12746473,4.462937,37.46875,-36.25,1.7349424,4.113645,37.46875,7.742643e-05
gpt_neox.layers.2.attention.query_key_value.bias,143000,-0.12745774,4.4652805,37.46875,-36.25,1.7359282,4.115772,37.46875,1.2516975e-06
gpt_neox.layers.2.attention.dense.weight,142000,7.991391e-06,0.026967278,0.22631836,-0.24365234,0.0208081,0.017153876,0.24365234,2.3841858e-07
gpt_neox.layers.2.attention.dense.weight,143000,8.153994e-06,0.026866611,0.22497559,-0.24365234,0.020730736,0.017089464,0.24365234,5.9604645e-08
gpt_neox.layers.2.attention.dense.bias,142000,0.0006021408,0.06185661,0.8417969,-0.41381836,0.03226358,0.052760098,0.8417969,4.6491623e-06
gpt_neox.layers.2.attention.dense.bias,143000,0.0006018514,0.061822534,0.84228516,-0.41308594,0.032240905,0.052734036,0.84228516,8.261204e-05
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,142000,-0.0001459934,0.033129673,1.2304688,-1.1738281,0.024072735,0.0227618,1.2304688,0.0
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,143000,-0.00014772211,0.033014778,1.2294922,-1.1689453,0.023992091,0.02267987,1.2294922,5.9604645e-08
gpt_neox.layers.2.mlp.dense_h_to_4h.bias,142000,-0.113455966,0.18450695,0.4645996,-5.2695312,0.13133118,0.17223547,5.2695312,0.0002450943
gpt_neox.layers.2.mlp.dense_h_to_4h.bias,143000,-0.11355608,0.18459684,0.4645996,-5.2695312,0.1314425,0.17231281,5.2695312,3.9756298e-05
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,142000,2.7755228e-05,0.022134585,0.5180664,-0.48242188,0.017443944,0.013625312,0.5180664,0.0
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,143000,2.8429442e-05,0.022054704,0.5161133,-0.48242188,0.017380122,0.0135772545,0.5161133,0.0
gpt_neox.layers.2.mlp.dense_4h_to_h.bias,142000,0.0006021408,0.06185661,0.8417969,-0.41381836,0.03226358,0.052760098,0.8417969,4.6491623e-06
gpt_neox.layers.2.mlp.dense_4h_to_h.bias,143000,0.0006018514,0.061822534,0.84228516,-0.41308594,0.032240905,0.052734036,0.84228516,8.261204e-05
gpt_neox.layers.3.input_layernorm.weight,142000,1.670207,0.37691182,3.0566406,0.96972656,1.670207,0.37691182,3.0566406,0.96972656
gpt_neox.layers.3.input_layernorm.weight,143000,1.6716013,0.37753415,3.0605469,0.97021484,1.6716013,0.37753415,3.0605469,0.97021484
