parameter,step,mean,std,maximum,minimum,abs_mean,abs_std,abs_maximum,abs_minimum
gpt_neox.layers.2.post_attention_layernorm.bias,142000,0.01105342,0.15484864,1.4091797,-1.25,0.097446896,0.120772675,1.4091797,9.304285e-05
gpt_neox.layers.2.post_attention_layernorm.bias,143000,0.010986665,0.15490526,1.4082031,-1.2480469,0.097585686,0.12072688,1.4082031,0.00011271238
gpt_neox.layers.2.attention.query_key_value.weight,142000,3.0210467e-06,0.03194029,0.25805664,-0.33789062,0.024546891,0.020436034,0.33789062,0.0
gpt_neox.layers.2.attention.query_key_value.weight,143000,4.3965133e-06,0.031835932,0.25610352,-0.33764648,0.024465198,0.020371059,0.33764648,5.9604645e-08
gpt_neox.layers.2.attention.query_key_value.bias,142000,-0.1271634,5.2532473,36.3125,-33.59375,2.138954,4.799446,36.3125,2.425909e-05
gpt_neox.layers.2.attention.query_key_value.bias,143000,-0.12713431,5.254605,36.3125,-33.625,2.1395924,4.8006463,36.3125,6.16312e-05
gpt_neox.layers.2.attention.dense.weight,142000,2.8974537e-06,0.026716521,0.24304199,-0.25463867,0.020761903,0.016814109,0.25463867,5.9604645e-08
gpt_neox.layers.2.attention.dense.weight,143000,1.7216153e-06,0.026609465,0.24304199,-0.2578125,0.020676348,0.016749647,0.2578125,5.9604645e-08
gpt_neox.layers.2.attention.dense.bias,142000,0.0004610368,0.06033053,0.7758789,-0.43310547,0.03327122,0.050307505,0.7758789,0.0001206398
gpt_neox.layers.2.attention.dense.bias,143000,0.0004671982,0.060273007,0.77490234,-0.43237305,0.033270717,0.0502389,0.77490234,7.545948e-05
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,142000,2.1752274e-05,0.03345616,1.0283203,-1.0878906,0.024362497,0.022929968,1.0878906,0.0
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,143000,1.8355404e-05,0.033344325,1.0244141,-1.0810547,0.024277339,0.022857267,1.0810547,5.9604645e-08
gpt_neox.layers.2.mlp.dense_h_to_4h.bias,142000,-0.11638344,0.20495088,0.4296875,-4.8789062,0.13380605,0.19402006,4.8789062,2.259016e-05
gpt_neox.layers.2.mlp.dense_h_to_4h.bias,143000,-0.11650245,0.20505428,0.43041992,-4.8789062,0.13390136,0.19413497,4.8789062,3.618002e-05
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,142000,4.4426724e-06,0.0232447,1.0283203,-0.5546875,0.018205823,0.014452117,1.0283203,5.9604645e-08
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,143000,2.2989634e-06,0.023167524,1.0292969,-0.5541992,0.0181446,0.014405115,1.0292969,0.0
gpt_neox.layers.2.mlp.dense_4h_to_h.bias,142000,0.0004610368,0.06033053,0.7758789,-0.43310547,0.03327122,0.050307505,0.7758789,0.0001206398
gpt_neox.layers.2.mlp.dense_4h_to_h.bias,143000,0.0004671982,0.060273007,0.77490234,-0.43237305,0.033270717,0.0502389,0.77490234,7.545948e-05
gpt_neox.layers.3.input_layernorm.weight,142000,1.6526299,0.36231217,2.8710938,0.9897461,1.6526299,0.36231217,2.8710938,0.9897461
gpt_neox.layers.3.input_layernorm.weight,143000,1.6538467,0.36294088,2.8769531,0.9892578,1.6538467,0.36294088,2.8769531,0.9892578
gpt_neox.layers.3.input_layernorm.bias,142000,0.34626532,0.47304913,1.7871094,-1.3447266,0.4693058,0.35104254,1.7871094,0.0020217896
gpt_neox.layers.3.input_layernorm.bias,143000,0.3473236,0.4747653,1.7919922,-1.3476562,0.47097775,0.35216147,1.7919922,0.0019006729
gpt_neox.layers.3.post_attention_layernorm.weight,142000,1.3159456,0.15054205,2.4628906,0.6713867,1.3159456,0.15054205,2.4628906,0.6713867
gpt_neox.layers.3.post_attention_layernorm.weight,143000,1.31705,0.15056776,2.4648438,0.67285156,1.31705,0.15056776,2.4648438,0.67285156
gpt_neox.layers.3.post_attention_layernorm.bias,142000,0.006135338,0.22817843,1.1601562,-1.3701172,0.17051,0.15156701,1.3701172,5.7697296e-05
gpt_neox.layers.3.post_attention_layernorm.bias,143000,0.0061307596,0.22862393,1.1611328,-1.3691406,0.17095467,0.15173617,1.3691406,0.0007004738
gpt_neox.layers.3.attention.query_key_value.weight,142000,-0.00032566543,0.13782264,2.1015625,-2.109375,0.053183842,0.12714818,2.109375,0.0
gpt_neox.layers.3.attention.query_key_value.weight,143000,-0.00032799807,0.1376491,2.0898438,-2.0957031,0.05309089,0.12699896,2.0957031,5.9604645e-08
gpt_neox.layers.3.attention.query_key_value.bias,142000,-0.5420806,20.133488,65.3125,-65.1875,8.369317,18.318304,65.3125,4.6491623e-06
gpt_neox.layers.3.attention.query_key_value.bias,143000,-0.54344463,20.15635,65.375,-65.25,8.379592,18.338774,65.375,1.5318394e-05
gpt_neox.layers.3.attention.dense.weight,142000,2.0099322e-05,0.030461235,0.3713379,-0.3371582,0.023654625,0.019192286,0.3713379,5.9604645e-08
gpt_neox.layers.3.attention.dense.weight,143000,1.9715053e-05,0.030338537,0.37182617,-0.33544922,0.023549236,0.019127427,0.37182617,5.9604645e-08
gpt_neox.layers.3.attention.dense.bias,142000,0.00044628652,0.08309937,1.1601562,-0.62890625,0.041879833,0.07175203,1.1601562,7.534027e-05
gpt_neox.layers.3.attention.dense.bias,143000,0.0004369761,0.08306173,1.1582031,-0.62939453,0.041895334,0.07169929,1.1582031,9.5784664e-05
gpt_neox.layers.3.mlp.dense_h_to_4h.weight,142000,6.8846224e-05,0.030304123,0.2286377,-0.19909668,0.023808517,0.018748295,0.2286377,5.9604645e-08
gpt_neox.layers.3.mlp.dense_h_to_4h.weight,143000,6.880943e-05,0.030184168,0.22668457,-0.20275879,0.02371424,0.01867413,0.22668457,0.0
gpt_neox.layers.3.mlp.dense_h_to_4h.bias,142000,-0.09802666,0.15833078,0.45532227,-0.9082031,0.13689074,0.12623125,0.9082031,0.00027298927
gpt_neox.layers.3.mlp.dense_h_to_4h.bias,143000,-0.097992375,0.15855896,0.45532227,-0.9082031,0.13700652,0.12636529,0.9082031,1.7404556e-05
gpt_neox.layers.3.mlp.dense_4h_to_h.weight,142000,4.0241426e-05,0.027791899,0.48535156,-0.48486328,0.021434333,0.017690683,0.48535156,5.9604645e-08
gpt_neox.layers.3.mlp.dense_4h_to_h.weight,143000,3.9679497e-05,0.027682003,0.4814453,-0.48120117,0.021348756,0.017621722,0.4814453,5.9604645e-08
gpt_neox.layers.3.mlp.dense_4h_to_h.bias,142000,0.00044628652,0.08309937,1.1601562,-0.62890625,0.041879833,0.07175203,1.1601562,7.534027e-05
gpt_neox.layers.3.mlp.dense_4h_to_h.bias,143000,0.0004369761,0.08306173,1.1582031,-0.62939453,0.041895334,0.07169929,1.1582031,9.5784664e-05
gpt_neox.layers.4.input_layernorm.weight,142000,2.3644304,1.222227,9.421875,0.8154297,2.3644304,1.222227,9.421875,0.8154297
gpt_neox.layers.4.input_layernorm.weight,143000,2.3660402,1.2237328,9.4375,0.8154297,2.3660402,1.2237328,9.4375,0.8154297
